Name,Availability,Ref,Discount,Image URL,Brand,Old Price,Price,product_url,Système d'exploitation,Mémoire,Garantie,Taille de l'écran,Type de Processeur,Disque Dur,Carte Graphique,Couleur,Store
Pc Portable LENOVO IdeaPad 3 15IGL05 N4020 4Go 1To - Noir,En Stock,81WQ00GYFG,130000.0,https://www.technopro-online.com/79708-thickbox_default/pc-portable-lenovo-ideapad-3-15igl05-n4020-4go-1to-noir-81wq00gyfg.jpg,LENOVO,769000.0,639000,https://www.technopro-online.com/pc-portable-lenovo-ideapad-3-15igl05-n4020-4go-1to-noir-81wq00gyfg.html,Windows 11,4 Go,1 an,"15.6""",Intel Celeron,1 To,Graphique Intégrée,Noir,OXtek
Pc Portable LENOVO V14 IGL Dual Core 4 Go (82C2000YFE),En Stock,82C2000YFE,nan,https://www.technopro-online.com/79717-thickbox_default/pc-portable-lenovo-v14-igl-dual-core-4-go-82c2000yfe.jpg,LENOVO,nan,629000,https://www.technopro-online.com/pc-portable-lenovo-v14-igl-dual-core-4-go-82c2000yfe.html,Free Dos,4 Go,1 an,"14""",Intel Celeron,1 To,Graphique Intégrée,Gris,OXtek
PC Portable LENOVO IdeaPad 3 15IGL05 N4020 4Go 1To - Gris,En Stock,81WQ00GWFG,100000.0,https://www.technopro-online.com/79706-thickbox_default/pc-portable-lenovo-ideapad-3-15igl05-n4020-4go-1to-gris-81wq00gwfg.jpg,LENOVO,729000.0,629000,https://www.technopro-online.com/pc-portable-lenovo-ideapad-3-15igl05-n4020-4go-1to-gris-81wq00gwfg.html,Windows 11,4 Go,1 an,"15.6""",Intel Celeron,1 To,Graphique Intégrée,Gris,OXtek
Pc Portable LENOVO IDEAPAD 3 15IGL05 N4020 4GO 1To – Bleu (81WQ00GUFG),En Stock,81WQ00GUFG,100000.0,https://www.technopro-online.com/79707-thickbox_default/pc-portable-lenovo-ideapad-3-15igl05-n4020-4go-1to-bleu-81wq00gufg.jpg,LENOVO,729000.0,629000,https://www.technopro-online.com/pc-portable-lenovo-ideapad-3-15igl05-n4020-4go-1to-bleu-81wq00gufg.html,Windows 11,4 Go,1 an,"15.6""",Intel Celeron,1 To,Graphique Intégrée,Bleu,OXtek
LENOVO IDEAPAD 3 15IGL05 N4020 4GO 256 Go SSD – Bleu (81WQ00GUFG),En Stock,81WQ00GUFG-256SSD,100000.0,https://www.technopro-online.com/91234-thickbox_default/lenovo-ideapad-3-15igl05-n4020-4go-256-go-ssd-bleu-81wq00gufg.jpg,LENOVO,739000.0,639000,https://www.technopro-online.com/lenovo-ideapad-3-15igl05-n4020-4go-256-go-ssd-bleu-81wq00gufg.html,Windows 11,4 Go,1 an,"15.6""",Intel Celeron,256 Go SSD,Graphique Intégrée,Bleu,OXtek
PC Portable LENOVO V15 IGL Dual Core 4Go 256 Go SSD - Gris,En Stock,82C30009FE-256SSD,100000.0,https://www.technopro-online.com/91346-thickbox_default/lenovo-v15-igl-dual-core-4go-256-go-ssd-gris.jpg,LENOVO,739000.0,639000,https://www.technopro-online.com/lenovo-v15-igl-dual-core-4go-256-go-ssd-gris.html,Free Dos,4 Go,1 an,"15.6""",Intel Celeron,256 Go SSD,Graphique Intégrée,Gris,OXtek
PC Portable LENOVO IdeaPad 3 15IGL05 N4020 4Go 1To - Gris (81WQ00GWFG-2Y),En Stock,81WQ00GWFG-2Y,101000.0,https://www.technopro-online.com/79716-thickbox_default/pc-portable-lenovo-ideapad-3-15igl05-n4020-4go-1to-gris-81wq00gwfg-2y.jpg,LENOVO,750000.0,649000,https://www.technopro-online.com/pc-portable-lenovo-ideapad-3-15igl05-n4020-4go-1to-gris-81wq00gwfg-2y.html,Windows 11,4 Go,2 ans,"15.6""",Intel Celeron,1 To,Graphique Intégrée,,OXtek
PC Portable LENOVO V15 IGL Dual Core 4Go- Gris (82C30009FE),En Stock,82C30009FE,100000.0,https://www.technopro-online.com/79704-thickbox_default/pc-portable-lenovo-v15-igl-dual-core-4go-1to-gris-82c30009fe.jpg,LENOVO,759000.0,659000,https://www.technopro-online.com/pc-portable-lenovo-v15-igl-dual-core-4go-1to-gris-82c30009fe.html,Free Dos,4 Go,1 an,"15.6""",Intel Celeron,256 Go SSD,Graphique Intégrée,Gris,OXtek
LENOVO IdeaPad 3 15IGL05 N4020 4Go SSD 256 Go - Noir,En Stock,81WQ00GYFG-256ssd,120000.0,https://www.technopro-online.com/91076-thickbox_default/lenovo-ideapad-3-15igl05-n4020-4go-ssd-256-go-noir-81wq00gyfg.jpg,LENOVO,789000.0,669000,https://www.technopro-online.com/lenovo-ideapad-3-15igl05-n4020-4go-ssd-256-go-noir-81wq00gyfg.html,Windows 11,4 Go,1 an,"15.6""",Intel Celeron,256 Go SSD,Graphique Intégrée,Noir,OXtek
Pc Portable LENOVO V14 IGL 4Go - 256 GO SSD (82C2000YFE-256),En Stock,82C2000YFE-256,100000.0,https://www.technopro-online.com/84494-thickbox_default/-pc-portable-lenovo-v14-igl-1-to-256-go-ssd-82c2000yfe-256.jpg,LENOVO,789000.0,689000,https://www.technopro-online.com/-pc-portable-lenovo-v14-igl-1-to-256-go-ssd-82c2000yfe-256.html,,4 Go,1 an,"14""",Intel Celeron,256 Go SSD,Graphique Intégrée,Gris,OXtek
